View name,View index,Feature name,Area,X,Y,Overlapping pixels (cyan),ViDi markings only pixels (pink),Region only pixels (mustard)
100109202033_Blue_Lane [1]_RackIndex[9]_Date_01_10_2020_ 0738,0,defect,765,529.102,119.8627,626,104,35
100109202033_Blue_Lane [1]_RackIndex[9]_Date_01_10_2020_ 0834,0,defect,805,529.3416,119.8919,627,121,57
100109202033_Blue_Lane [1]_RackIndex[9]_Date_01_10_2020_ 0930,0,defect,737,529.8589,119.3202,629,89,19
100109202033_Blue_Lane [2]_RackIndex[15]_Date_01_10_2020_ 1294,0,defect,714,527.7899,117.3459,605,94,15
100109202033_Blue_Lane [3]_RackIndex[1]_Date_01_09_2020_ 0594,0,defect,684,533.7851,117.7354,572,50,62
100109202033_Blue_Lane [4]_RackIndex[9]_Date_01_10_2020_ 0994,0,defect,709,533.8942,119.0564,601,94,14
100109202033_Blue_Lane [4]_RackIndex[9]_Date_01_10_2020_ 1090,0,defect,692,533.9855,118.6647,607,76,9
100109202033_Blue_Lane [4]_RackIndex[9]_Date_01_10_2020_ 1186,0,defect,701,533.9615,118.9244,607,89,5
100109202033_Blue_Lane [6]_RackIndex[14]_Date_01_23_2020_ 1644,0,defect,927,528.3474,117.1133,799,114,14
100109202034_Blue_Lane [1]_RackIndex[10]_Date_01_10_2020_ 0644,0,defect,1101,503.8465,117.743,907,115,79
100109202034_Blue_Lane [1]_RackIndex[10]_Date_01_10_2020_ 0740,0,defect,1097,504.3391,118.0793,884,134,79
100109202034_Blue_Lane [1]_RackIndex[10]_Date_01_10_2020_ 0836,0,defect,1054,504.6831,117.3064,712,326,16
100109202034_Blue_Lane [1]_RackIndex[10]_Date_01_10_2020_ 0932,0,defect,1167,503.5827,118.2014,1010,97,60
100109202034_Blue_Lane [3]_RackIndex[2]_Date_01_09_2020_ 0596,0,defect,1025,527.7249,116.7629,897,87,41
100109202034_Blue_Lane [4]_RackIndex[10]_Date_01_10_2020_ 0996,0,defect,1159,507.4668,117.6816,1013,111,35
100109202034_Blue_Lane [4]_RackIndex[10]_Date_01_10_2020_ 1092,0,defect,1146,507.5367,117.534,998,102,46
100109202034_Blue_Lane [4]_RackIndex[10]_Date_01_10_2020_ 1188,0,defect,1116,507.6219,117.8755,1005,99,12
100109202035_Blue_Lane [1]_RackIndex[11]_Date_01_10_2020_ 0646,0,defect,1396,566.6168,115.8352,1252,67,77
100109202035_Blue_Lane [1]_RackIndex[11]_Date_01_10_2020_ 0742,0,defect,1327,566.2916,115.425,1163,89,75
100109202035_Blue_Lane [1]_RackIndex[11]_Date_01_10_2020_ 0838,0,defect,1286,566.7729,115.9215,1173,96,17
100109202035_Blue_Lane [1]_RackIndex[11]_Date_01_10_2020_ 0934,0,defect,1243,566.7256,114.9268,1102,92,49
100109202035_Blue_Lane [2]_RackIndex[9]_Date_01_10_2020_ 1282,0,defect,1240,570.0839,114.5048,1127,103,10
100109202035_Blue_Lane [4]_RackIndex[11]_Date_01_10_2020_ 0998,0,defect,1266,570.5024,114.1232,1170,81,15
